Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
Pixel Color -> R: 0,  G: 0,  B: 0, 
